id,Publication Year,Author,Title,Publication Title,ISSN,DOI,Abstract Note,Date,PMID,AERO_colour,mono_combination,timestamp_started,referenceid,notes,total_N,funding,end,ORR_n,ORR_denom,SAE_34,SAE_denom,AERO_color,comments,comments_weird,start,endpoint,Drug_Sunitinib,Drug_Sorafenib,mono_combo,SAE_5,single_select_2,claim_quote,CiteNet_count,Author_Year
11,2010,"Kozloff, M.; Chuang, E.; Starr, A.; Gowland, P. A.; Cataruozolo, P. E.; Collier, M.; Verkh, L.; Huang, X.; Kern, K. A.; Miller, K.",An exploratory study of sunitinib plus paclitaxel as first-line treatment for patients with advanced breast cancer,Annals of Oncology,,10.1093/annonc/mdp565,CONCLUSIONS: These data indicate that sunitinib and paclitaxel in combination are well tolerated in patients with locally advanced or MBC. No drug-drug interaction was detected and there was preliminary evidence of antitumor activity.,2010-07,PMID: 20032126,green,c,2017-01-12 14:36:31,11,NULL,22,industry_only,0000-00-00,7,18,10,21,green,n,NULL,2005-01-01,safety,1,NULL,Combo_therapy,,inconclusive,"Sunitinib continues to be evaluated as a potential treatment of advanced breast cancer in combination with chemotherapy and studies with sunitinib are continuing in the neoadjuvant breast cancer setting.\nHowever, a phase III combination study of sunitinib plus paclitaxel versus bevacizumab plus paclitaxel (SUN 1094) was stopped in 2009 as interim analyses showed the primary end point could not be met.",2,Kozloff
12,2012,"Cardoso, Fatima; Canon, Jean-Luc; Amadori, Dino; Aldrighetti, Daniela; Machiels, Jean-Pascal; Bouko, Yasmina; Verkh, Lev; Usari, Tiziana; Kern, Kenneth A.; Giorgetti, Carla; Dirix, Luc",An exploratory study of sunitinib in combination with docetaxel and trastuzumab as first-line therapy for HER2-positive metastatic breast cancer,Breast,,10.1016/j.breast.2012.09.002,CONCLUSIONS: Sunitinib combined with docetaxel and trastuzumab had an acceptable toxicity profile and showed preliminary antitumor activity as first-line treatment for metastatic HER2+ breast cancer.Copyright © 2012 Elsevier Ltd. All rights reserved.,2012-12,PMID: 23022045,green,c,2017-01-12 13:42:41,12,NULL,26,industry_only,2009-02-01,16,22,7,25,green,n,NULL,2006-12-01,safety,1,NULL,Combo_therapy,,support,"A regimen that combines trastuzumab with an antiangiogenic agent seems to be a feasible treatment approach when given in combination with chemotherapy,\nappointing results may be due in part to the fact that the trials were performed in unselected breast cancer populations. It is of utmost importance to discover and validate predictive markers of response to antiangiogenic agents and clearly identify which patients benefit from this approach. This is particularly important with the combined anti-HER2?antiangiogenic targeted approach, which in the present study provided an 82% rate of clinical benefit as first-line treatment for MBC.",0,Cardoso
13,2010,"Barrios, Carlos H.; Liu, Mei-Ching; Lee, Soo Chin; Vanlemmens, Laurence; Ferrero, Jean-Marc; Tabei, Toshio; Pivot, Xavier; Iwata, Hiroji; Aogi, Kenjiro; Lugo-Quintana, Roberto; Harbeck, Nadia; Brickman, Marla J.; Zhang, Ke; Kern, Kenneth A.; Martin, Miguel",Phase III randomized trial of sunitinib versus capecitabine in patients with previously treated HER2-negative advanced breast cancer,Breast Cancer Research & Treatment,,10.1007/s10549-010-0788-0,"This multicenter, randomized, open-label phase III trial (planned enrollment: 700 patients) was conducted to test the hypothesis that single-agent sunitinib improves progression-free survival (PFS) compared with capecitabine as treatment for advanced breast cancer (ABC). Patients with HER2-negative ABC that recurred after anthracycline and taxane therapy were randomized (1:1) to sunitinib 37.5 mg/day or capecitabine 1,250 mg/m(2) (1,000 mg/m(2) in patients >65 years) BID on days 1-14 q3w. The independent data-monitoring committee (DMC) determined during the first interim analysis (238 patients randomized to sunitinib, 244 to capecitabine) that the trial be terminated due to futility in reaching the primary endpoint. No statistical evidence supported the hypothesis that sunitinib improved PFS compared with capecitabine (one-sided P = 0.999). The data indicated that PFS was shorter with sunitinib than capecitabine (median 2.8 vs. 4.2 months, respectively; HR, 1.47; 95% CI, 1.16-1.87; two-sided P = 0.002). Median overall survival (15.3 vs. 24.6 months; HR, 1.17; two-sided P = 0.350) and objective response rates (11 vs. 16%; odds ratio, 0.65; P = 0.109) were numerically inferior with sunitinib versus capecitabine. While no new or unexpected safety findings were reported, sunitinib treatment was associated with higher frequencies and greater severities of many common adverse events (AEs) compared with capecitabine, resulting in more temporary discontinuations due to AEs with sunitinib (66 vs. 51%). The relative dose intensity was lower with sunitinib than capecitabine (73 vs. 95%). Based on these efficacy and safety results, sunitinib should not be used as monotherapy for patients with ABC.",2010-05,PMID: 20339913,red,m,2017-01-12 13:18:11,13,NULL,482,industry_only,2009-07-01,26,238,26,238,red ,n,NULL,2006-11-01,PFS,1,NULL,Mono_therapy,5,inconclusive,"to date, no targeted agent has demonstrated robust benefit as a single agent. (neg.)\nTherefore, emerging evidence suggests that antiangiogenic agents may be best used in combination with chemotherapy and/or inhibitors of other signaling pathways in ABC. (pos)",8,Barrios
14,2013,"Crown, John P.; Dieras, Veronique; Staroslawska, Elzbieta; Yardley, Denise A.; Bachelot, Thomas; Davidson, Neville; Wildiers, Hans; Fasching, Peter A.; Capitain, Olivier; Ramos, Manuel; Greil, Richard; Cognetti, Francesco; Fountzilas, George; Blasinska-Morawiec, Maria; Liedtke, Cornelia; Kreienberg, Rolf; Miller, Wilson H. Jr; Tassell, Vanessa; Huang, Xin; Paolini, Jolanda; Kern, Kenneth A.; Romieu, Gilles",Phase III trial of sunitinib in combination with capecitabine versus capecitabine monotherapy for the treatment of patients with pretreated metastatic breast cancer,Journal of Clinical Oncology,,10.1200/JCO.2012.43.3391,CONCLUSION: The addition of sunitinib to capecitabine does not improve the clinical outcome of patients with MBC pretreated with anthracyclines and taxanes.,2013-08,PMID: 23857972,red,c,2017-01-12 12:33:21,14,NULL,442,industry_only,2009-12-01,42,221,69,217,red ,n,NULL,2007-02-01,PFS,1,NULL,Combo_therapy,NULL,contradict,The addition of sunitinib to capecitabine does not improve the clinical outcome of patients with MBC pretreated with anthracyclines and taxanes.,2,Crown
15,2012,"Bergh, Jonas; Mariani, Gabriella; Cardoso, Fatima; Liljegren, Annelie; Awada, Ahmad; Vigano, Lucia; Huang, Xin; Verkh, Lev; Kern, Kenneth A.; Giorgetti, Carla; Gianni, Luca",Clinical and pharmacokinetic study of sunitinib and docetaxel in women with advanced breast cancer,Breast,,10.1016/j.breast.2012.01.012,CONCLUSIONS: Sunitinib plus docetaxel on Schedule 2/1 did not result in any clinically significant drug-drug interactions. This combination was manageable and exhibited antitumor activity.Copyright © 2012 Elsevier Ltd. All rights reserved.,2012-08,PMID: 22336056,white,c,2017-01-13 09:34:01,15,NULL,22,industry_only,2008-10-01,14,20,22,22,white,n,NULL,2006-07-01,"PK of docetaxel and sunitinib including its active metabolite, SU12662",1,NULL,Combo_therapy,,support,"sunitinib plus docetaxel demonstrated acceptable tolerability, substantial antitumor activity and an absence of any drug?drug interactions.\n\nthese data suggest that the sunitinib plus docetaxel combination on Schedule 2/1 was manageable and without clinically relevant PK drug?drug interactions, phase III results preclude further investigation of this sunitinib-docetaxel regimen in unselected populations of patients with metastatic breast cancer.",1,Bergh
16,2013,"G, Curigliano; X, Pivot; J, Cortes; A, Elias; R, Cesari; R, Khosravan; M, Collier; X, Huang; P.e, Cataruozolo; K.a, Kern; A, Goldhirsch",Randomized phase II study of sunitinib versus standard of care forpatients with previously treated advanced triple-negative breastcancer,Breast,0960-9776,10.1016/j.breast.2013.07.037,"Purpose: This randomized, open-label phase II study compared the efficacy of sunitinib monotherapy with that of single-agent standard-of-care (SOC) chemotherapy in patients with previously treated advanced triple-negative breast cancer (TNBC). Methods: Patients with advanced TNBC, relapsed after anthracycline- and taxane-based chemotherapy, were randomized to receive either sunitinib (37.5mg/day) or the investigator's choice of SOC therapy. Progression-free survival was the primary endpoint. Results: Median progression-free survival was 2.0 months with sunitinib and 2.7 months with SOC chemotherapy (one-sided P=0.888). Median overall survival was not prolonged with sunitinib (9.4 months) compared with SOC chemotherapy (10.5 months; one-sided P=0.839). The objective response rate was 3% with sunitinib and 7% with SOC chemotherapy (one-sided P=0.962). Conclusions: Sunitinib monotherapy did not improve efficacy compared with SOC chemotherapy in patients with previously treated advanced TNBC, for which identification of effective treatments and therapeutic targets remains an urgent need. Trial registration: NCT00246571. © 2013 Elsevier Ltd.",2013-10,,red,m,2017-01-13 10:09:23,16,NULL,217,industry_only,2010-05-01,3,113,60,110,red ,n,NULL,2006-01-01,PFS,1,0,Mono_therapy,,contradict,"the present study ? the largest randomized trial to date evaluating an antiangiogenic agent as monotherapy for advanced TNBC ? sunitinib did not improve clinical outcomes\n\nTaken together, these results suggest a general lack of dependence of ABC on known sunitinib targets.\n\n As the changes in cellular and organ metabolism leading to death in patients with metastatic disease are incompletely understood, it remains possible that antiangiogenic agents, through more profound blockade of the vasculature than anticipated, accelerate some component of the premorbid process.",0,Curigliano
18,2015,"D.a, Yardley; D.l, Shipley; N.w, Peacock; M, Shastry; R, Midha; V.m, Priego; J.d, Hainsworth",Phase I/II trial of neoadjuvant sunitinib administered with weekly paclitaxel/carboplatin in patients with locally advanced triple-negative breast cancer,Breast Cancer Research and Treatment,0167-6806,10.1007/s10549-015-3482-4,"The purpose of the study is to evaluate the feasibility and efficacy of adding sunitinib to paclitaxel/carboplatin in the neoadjuvant therapy of patients with triple-negative breast cancer (TNBC). Patients had histologically proven, previously untreated, triple-negative adenocarcinoma, with disease limited to the breast and axilla (clinical T1-T3, N0-N2, M0; T1N1M0 excluded). Following determination of the maximum tolerated doses in the phase I portion, patients in the phase II study received paclitaxel 70 mg/m<sup>2</sup> IV days 1, 8, and 15; carboplatin AUC 5.0 IV day 1; sunitinib 25 mg orally daily; treatment was administered for six 28-day cycles followed by definitive surgery. Sunitinib was resumed postoperatively to complete a 52-week course. Pathologic complete response (pCR) rate was the primary endpoint. Fifty-four patients enrolled; 41 received treatment in the phase II study. Sixteen patients (39 %) were able to complete six cycles of neoadjuvant therapy; 18 additional patients had surgery after completing 2-5 cycles of treatment. The pCR rate in these 34 evaluable patients was 35 %. The toxicity of the regimen was considerable, with myelosuppression resulting in numerous dose reductions and/or omissions of paclitaxel and carboplatin. Eleven patients (27 %) discontinued sunitinib during neoadjuvant therapy, and six patients (14 %) completed 52 weeks of single-agent sunitinib. In the neoadjuvant treatment of patients with TNBC, the combination of paclitaxel, carboplatin, and sunitinib was difficult to administer, and produced a pCR rate comparable to other less toxic regimens. This combination is not recommended for further evaluation. At present, sunitinib has no defined role in the treatment of breast cancer. Copyright © 2015, Springer Science+Business Media New York.",2015-08,,red,c,2017-01-13 19:11:13,18,NULL,54,NULL,2012-07-01,25,29,26,42,red ,n,NULL,2009-06-01,pCR,1,NULL,Combo_therapy,NULL,contradict,"However,\nenthusiasm for anti-angiogenesis agents as an important\ncomponent of treatment in the general breast cancer population\nhas waned due to a number of negative phase III\ntrials, and it currently appears unlikely that these agents\nwill play a broad role.",0,Yardley
19,2012,"D.a, Yardley; E.c, Dees; S.d, Myers; S, Li; P, Healey; Z, Wang; M.j, Brickman; J, Paolini; K.a, Kern; D.l, Citrin",Phase II open-label study of sunitinib in patients with advanced breast cancer,Breast Cancer Research and Treatment,0167-6806,10.1007/s10549-012-2285-0,"This multicenter, open-label phase II study was conducted to evaluate sunitinib monotherapy in patients with either metastatic or locoregionally recurrent advanced breast cancer. Patients received sunitinib 37.5 mg on a continuous daily dosing schedule. The primary endpoint was objective response rate (ORR); the predefined target ORR was 25 %. All 83 patients enrolled into the study received study treatment. The majority of patients (90 %) had metastatic disease; 92 % had received prior systemic therapies, and 60 % had received two or more regimens for early and/or advanced disease. The ORR was 8 % (95 % exact CI, 4-17), comprising seven partial responses. In patients with superficial lesions (defined as cutaneous or palpable chest wall lesions), the ORR was 20 % (three of 15 evaluable patients), which was higher than that in patients with non-superficial disease (9 %; six of 64 patients). Median progression-free survival in the overall population was 3.6 months (95 % CI, 2.4-3.9); median overall survival was 15.6 months (95 % CI, 14.0-22.7). No new or unexpected safety findings were reported. The most commonly reported adverse events (AEs) were fatigue (60 %), diarrhea (54 %), and nausea (49 %). The most commonly reported grade 3/4 AEs were fatigue (17 %), neutropenia (16 %), and thrombocytopenia (11 %). Four patients (5 %) had a dose reduction due to an AE, and 39 patients (47 %) had temporary discontinuations of therapy due to AEs. Two on-study deaths were reported, one due to a pulmonary embolism (considered related to treatment) and one attributed to dyspnea and a myocardial infarction (considered unrelated to treatment). Patient-reported outcomes suggested that sunitinib treatment did not have a negative impact overall on patients' functional domains or the majority of symptom scales. The trial did not meet its prespecified primary endpoint, and in view of the negative results obtained in several other trials, sunitinib will not be developed further for this indication. © 2012 Springer Science+Business Media New York.",2012-12,,red,m,2017-01-13 15:40:53,19,NULL,83,industry_only,2010-08-01,7,83,14,83,red ,NULL,NULL,2007-08-01,ORR,1,NULL,Mono_therapy,1,contradict,"In the absence of surrogate markers\nthat would identify patients who may have benefited from\nthese  therapies,  it  therefore  appears  that  antiangiogenic\nagents  overall  have  only  limited  activity  in  stabilizing\ndisease in unselected ABC, and to date, no antiangiogenic\nagent  has  demonstrated  significant  clinical  benefit  in  the\nsingle-agent setting.",0,Yardley
20,2016,"A.l.a, Wong; R, Sundar; T.-T, Wang; T.-C, Ng; B, Zhang; S.-H, Tan; T.i.p, Soh; A.s.l, Pang; C.-S, Tan; S.g.w, Ow; L, Wang; J, Mogro; J, Ho; A.d, Jeyasekharan; Y, Huang; C.-H, Thng; C.-W, Chan; M, Hartman; P, Iau; S.a, Buhari; B.-C, Goh; S.-C, Lee","Phase Ib/II randomized, open-label study of doxorubicin and cyclophosphamide with or without low-dose, short-course sunitinib in the pre-operative treatment of breast cancer",Oncotarget,,10.18632/oncotarget.11596,"Background: Prolonged anti-angiogenic therapy destroys tumor vasculature, whereas vascular-normalizing doses may enhance intra-tumoral drug delivery. We hypothesize that low-dose, short-course sunitinib normalizes vasculature, enhancing chemotherapy efficacy. Patients and Methods: In phase Ib, treatment-naive breast cancer patients received four cycles of pre-operative doxorubicin/cyclophosphamide, with sunitinib before each cycle. The optimal dose of sunitinib leading to tumor vessel normalization on immunohistochemistry was identified. In phase II, subjects were randomized to chemotherapy alone or chemotherapy plus sunitinib at the recommended phase II dose (RP2D). Primary endpoint was pathological complete response (pCR) rate. Tumor and functional imaging biomarkers were evaluated serially. Results: In phase Ib (n=9), sunitinib 12.5 mg daily for 7 days before each chemotherapy was established as RP2D. In phase II, patients receiving chemotherapy plus sunitinib (n=24) had similar pCR rates (5.0% versus 4.3%, p=1.00), but a higher incidence of chemotherapy dose delays (33.3% versus 8.7%, p=0.04), compared to those receiving chemotherapy alone (n=25). The addition of sunitinib to chemotherapy significantly increased vascular normalization index (VNI) and decreased lymphatic vessel density (D2-40) on immunohistochemistry [VNI:25.50+/-27.94% versus 49.29+/-31.84%, p=0.034; D2-40:3.29+/-2.70 versus 1.29+/-1.54, p=0.014, baseline versus post-cycle 1], and improved perfusion on DCE-MRI (K<sup>trans</sup>:12.6+/-9.6 mL/100 g/min versus 16.3+/-10.7 mL/100 g/min, baseline versus post-cycle 1, p=0.015). Conversely, immunohistochemical and DCE-MRI parameters were not significantly altered by chemotherapy alone. Conclusion: Low-dose, short-course sunitinib prior to anthracycline-based chemotherapy in breast cancer patients did not improve pCR and increased chemotherapy dose delays. However, the addition of sunitinib induced compelling pharmacodynamic evidence of vascular normalization. Further studies with alternative cytotoxic regimens should be explored.",2016,,red,c,2017-01-13 15:18:33,20,,58,no_industry,2014-11-01,28,32,30,33,red ,y,"This is a neoadjuvant study, going from phase 1 to 2. Had a hard time to extract it!",2011-04-01,pCR,1,NULL,Combo_therapy,,inconclusive,"Despite the clear evidence of vascular normalization on immunohistochemistry and perfusion imaging, we were unable to demonstrate the clinical benefit of adding low-dose, short-course sunitinib to anthracycline-based chemotherapy in breast cancer patients.\n\nAddition of low-dose, short-course sunitinib to standard anthracycline-based neoadjuvant chemotherapy in breast cancer patients demonstrated compelling pharmacodynamic effects on immunohistochemistry and functional imaging, supporting the ?vascular normalization? hypothesis. However, sunitinib led to more dose delays when combined with anthracycline-based chemotherapy. We propose future studies evaluating this treatment strategy with primary prophylactic granulocyte colony-stimulating factor support or alternative cytotoxic regimens.\n\nWhile the addition of sunitinib to chemotherapy did not improve our primary endpoint of pathological complete response rates in our randomized phase II study, we observed definite pharmacodynamic signals that support its biological activity. Most notably, low-dose short-course sunitinib induced vascular normalization on immunohistochemistry, evidenced by a statistically significant serial increase in the vascular normalization index in the chemotherapy plus sunitinib but not the chemotherapy alone arm. This was accompanied by improved vascular perfusion within the tumor microenvironment on functional imaging in patients receiving sunitinib.",0,Wong
21,2014,"Loibl, Sibylle; Rokitta, Dennis; Conrad, Bettina; Harbeck, Nadia; Wullner, Michaela; Warm, Mathias; Schwedler, Kathrin; Gerber, Bernd; Schrader, Iris; Eidtmann, Holger; Mehta, Keyur; Fuhr, Uwe; von Minckwitz, Gunter",Sorafenib in the Treatment of Early Breast Cancer: Results of the Neoadjuvant Phase II Study - SOFIA,Breast Care,1661-3791,10.1159/000363430,"CONCLUSION: Sorafenib EC-Pw is feasible if the starting dose is 200 mg, escalated every 3 weeks based on the patients' individual toxicities.",2014-07,PMID: 25177258,white,c,2017-01-13 13:35:36,21,NULL,36,NULL,2011-09-01,10,36,35,36,white,n,NULL,2007-11-01,dose-finding,NULL,1,Combo_therapy,,inconclusive,"The main limitation of our study is that the initial protocol was not feasible, resulting in a low recruitment probably due to low acceptance of the combination and more attractive competing trials. The 3 different treatment approaches generated feasibility data of the combination of EC and paclitaxel in combination with sorafenib. Paclitaxel weekly as single agent was thought to allow for a more rapid dose escalation of sorafenib every 2 weeks, which could not be proven.",0,Loibl
22,2011,"Isaacs, Claudine; Herbolsheimer, Pia; Liu, Minetta C.; Wilkinson, Mary; Ottaviano, Yvonne; Chung, Gina G.; Warren, Robert; Eng-Wong, Jennifer; Cohen, Philip; Smith, Karen L.; Creswell, Karen; Novielli, Antonella; Slack, Rebecca",Phase I/II study of sorafenib with anastrozole in patients with hormone receptor positive aromatase inhibitor resistant metastatic breast cancer,Breast Cancer Research & Treatment,,10.1007/s10549-010-1226-z,"We evaluated the use of sorafenib to overcome resistance to aromatase inhibitors (AIs) in patients with metastatic breast cancer who had disease recurrence or progression while on AIs. We performed a multi-institution phase I/II study of sorafenib and anastrozole 1 mg daily in 35 postmenopausal females with hormone receptor positive metastatic breast cancer resistant to AIs. Primary objectives were to determine the dose of sorafenib in conjunction with anastrozole and the clinical benefit rate (CBR) (complete response [CR], partial response [PR], or stable disease [SD] > 24 weeks). Secondary objectives were to determine toxicity and to evaluate if response was associated with change in number of circulating endothelial cells or circulating endothelial progenitor cells. Based on the phase I portion, sorafenib 400 mg twice daily was selected as the phase II dose. Among 35 patients, 7 had SD > 24 weeks, 1 had PR > 24 weeks, and 14 had progressive disease (PD) < 24 weeks, corresponding to a CBR of 23%. The most common adverse events (all; Grade 3/4) were fatigue (66%; 17%), diarrhea (63%; 6%), nausea (60%; 9%), and hand-foot syndrome (57%; 34%). Dose reduction occurred in 77% of the patients and 31% came off study due to toxicity. The combination of sorafenib and anastrozole demonstrated a 23% CBR in patients with hormone receptor positive, AI-resistant metastatic breast cancer, which may be attributable to the restoration of sensitivity to AIs. Toxicities occurred frequently resulting in a high rate of discontinuation.",2011-01,PMID: 20976541,green,c,2017-01-13 13:12:19,22,"n summary, the combination of sorafenib and anastrozole produced an encouraging CBR of\n23%, suggesting that sorafenib may be able to restore sensitivity to hormone therapy and,\ntherefore, delay the initiation of chemotherapy in some patients.\n\ndevelopped hypothesis further!",35,industry_government,2009-03-01,1,35,12,35,green,n,NULL,2005-07-01,"dose finding, CBR",NULL,1,Combo_therapy,NULL,inconclusive,"n summary, the combination of sorafenib and anastrozole produced an encouraging CBR of\n23%, suggesting that sorafenib may be able to restore sensitivity to hormone therapy and,\ntherefore, delay the initiation of chemotherapy in some patients.",2,Isaacs
23,2015,"Bazzola, L.; Foroni, C.; Andreis, D.; Zanoni, V.; R Cappelletti, M.; Allevi, G.; Aguggini, S.; Strina, C.; Milani, M.; Venturini, S.; Ferrozzi, F.; Giardini, R.; Bertoni, R.; Turley, H.; Gatter, K.; Petronini, P. G.; Fox, S. B.; Harris, A. L.; Martinotti, M.; Berruti, A.; Bottini, A.; Reynolds, A. R.; Generali, D.","Combination of letrozole, metronomic cyclophosphamide and sorafenib is well-tolerated and shows activity in patients with primary breast cancer",Journal of Cancer,,10.1038/bjc.2014.563,CONCLUSIONS: The LCS combination is feasible and tolerable. The tumour response and target biomarker modulation indicate that the combination is clinically and biologically active.,2015-01,PMID: 25461806,white,c,2017-01-13 12:54:47,23,NULL,13,no_industry,2010-05-01,8,10,9,13,white,n,NULL,2009-04-01,NULL,NULL,1,Combo_therapy,NULL,support,"In conclusion, the addition of sorafenib to the already tested\nletrozole-cyclophosphamide combination was associated with a\nclinical response, a significant decrease in tumour metabolic\nactivity, in proliferation index and in angiogenesis in patients with\nhormone receptor positive primary breast cancer. Conceivably, this\nbenefit may be due to the ability of sorafenib to overcome\nresistance  to  endocrine  therapy  and/or  the  increased  anti-\nangiogenic  activity  when  sorafenib  is  combined  with  the\nmetronomic administration of cyclophosphamide.",0,Bazzola
24,2014,"Massarweh, Suleiman; Moss, Jessica; Wang, Chi; Romond, Edward; Slone, Stacey; Weiss, Heidi; Karabakhtsian, Rouzan G.; Napier, Dana; Black, Esther P.",Impact of adding the multikinase inhibitor sorafenib to endocrine therapy in metastatic estrogen receptor-positive breast cancer,Future Oncology,,10.2217/fon.14.99,CONCLUSION: The strategy of adding a targeted agent to endocrine therapy upon resistance may be worthwhile testing in larger studies.,2014-12,PMID: 24826798,red,c,2017-01-13 12:31:54,24,NULL,11,industry_government,2013-01-01,0,11,2,11,red ,n,NULL,2007-10-01,ORR,NULL,1,Combo_therapy,NULL,support,"This pilot study suggests that adding the multikinase inhibitor sorafenib to endocrine therapy upon  progression,  especially  tamoxifen,  produces  meaningful  clinical  benefit  with  manageable  toxicity  and  delays  resistance  and  the  otherwise inevitable use of chemotherapy.\n\nRegardless,  the  possibility  of  extending  the  \nefficacy  of  a  hormonal  agent  for  treatment  of  \nmetastatic breast cancer, perhaps for years, is a \nworthwhile goal.",0,Massarweh
25,2013,"Mina, Lida A.; Yu, Menggang; Johnson, Cynthia; Burkhardt, Cyndi; Miller, Kathy D.; Zon, Robin",A phase II study of combined VEGF inhibitor (bevacizumab+sorafenib) in patients with metastatic breast cancer: Hoosier Oncology Group Study BRE06-109,Investigational New Drugs,,10.1007/s10637-013-9976-1,CONCLUSION: The combination of sorafenib and bevacizumab has substantial toxicity and minimal efficacy in patients with previously treated metastatic breast cancer. Further study of this combination is not recommended.,2013-10,PMID: 23812905,red,c,2017-01-13 12:20:47,25,NULL,18,industry_government,2009-03-01,0,18,4,18,red ,n,NULL,2007-10-01,PFS,NULL,1,Combo_therapy,NULL,contradict,In conclusion drug development is a challenging task; the combination of biologics is very unpredictable and could be misleading. A deeper understanding of the biology of breast cancer and its underlying molecular identity is warranted prior to embarking into further targeted therapy trials.,0,Mina
26,2009,"Moreno-Aspitia, Alvaro; Morton, Roscoe F.; Hillman, David W.; Lingle, Wilma L.; Rowland, Kendrith M. Jr; Wiesenfeld, Martin; Flynn, Patrick J.; Fitch, Tom R.; Perez, Edith A.",Phase II trial of sorafenib in patients with metastatic breast cancer previously exposed to anthracyclines or taxanes: North Central Cancer Treatment Group and Mayo Clinic Trial N0336,Journal of Clinical Oncology,,10.1200/JCO.2007.15.5242,"CONCLUSION: Sorafenib as a single agent, although well tolerated, did not exhibit activity when measured by tumor shrinkage in patients with MBC who had received prior treatment. Further research should focus on combinations with standard therapy and end points more sensitive to effects of targeted agents, such as disease stabilization.",2009-01,PMID: 19047293,red,m,2017-01-13 11:28:32,26,NULL,23,no_industry,2006-06-01,0,20,1,23,red ,n,NULL,2004-09-01,ORR,NULL,1,Mono_therapy,NULL,support,"as single antiangiogenic agents, they are only\nmodestly effective in stabilizing disease in MBC\n\nThe promise of antiangiogenic therapy in breast cancer is likely to\nbe best realized in combination with standard background therapies. The safety profile of sorafenib makes it particularly\nsuitable for combination therapy.\nFuture trials of\nsorafenib in MBC that focus on combination therapy and measure\nPFS as a primary end point are warranted and are underway.",7,Moreno-Aspitia
28,2011,"D.r, Spigel; J.d, Hainsworth; H.a, Burris; D.c, Molthrop; N, Peacock; M, Kommor; E.r, Vazquez; F.a, Greco; D.a, Yardley",A pilot study of adjuvant doxorubicin and cyclophosphamide followed by paclitaxel and sorafenib in women with node-positive or high-risk early-stage breast cancer,Clinical Advances in Hematology and Oncology,15430790,,"Purpose: To examine the safety of sorafenib combined with standard adjuvant treatment in patients with node-positive or otherwise high-risk breast cancer. Patients and Methods: Eligibil- ity: mastectomy/breast-conserving surgery; axillary node assessment for stage I/II/IIIA/IIIC (T1-3, N3a only) breast cancer; node-positive/ high-risk node-negative (tumor size >2 cm; hormone-receptor negative; grade 2/3; or age <35 years); Eastern Cooperative Oncol- ogy Group performance status (ECOG-PS) 0-1; and adequate organ function. Treatment: doxorubicin (60 mg/m<sup>2</sup> intravenous) and cyclophosphamide (600 mg/m<sup>2</sup> intravenous; AC) on day 1, every 3 weeks (x 4 cycles), followed by paclitaxel 175 mg/m<sup>2</sup> intravenous on day 1, (every 3 weeks x 4 cycles) or 80 mg/m<sup>2</sup> intravenous (every week/x 12 cycles), combined with sorafenib (400 mg oral twice a week; TS) for 12 months or less. Results: Forty-five patients were enrolled from 5/07-1/08. Baseline characteristics included: median age of 54 years (range, 35-74 years); 93% of patients with ECOG-PS 0; 84% node-positive; 33% hormone-receptor negative. All patients completed AC treatment and were eligible to receive TS; of these, 8 (13%) patients came off study due to physician/patient decision; 21 (47%) patients came off study due to toxicity; 2 (4%) patients completed TS but did not proceed with maintenance sorafenib; and 14 (31%) patients completed TS and entered the maintenance phase of sorafenib treatment. Sorafenib was taken for 6.1 weeks during the paclitaxel phase and 15 weeks during maintenance. Severe toxici- ties during sorafenib therapy were limited, including neutropenia, anorexia, arthralgia, diarrhea, and dyspnea. After a median follow-up of 21.0 months (range, 18.9-25.9), all patients were alive and with- out recurrence. Conclusion: Sorafenib was generally associated with limited severe toxicity when combined with paclitaxel following AC. However, many patients discontinued sorafenib early due to grade 1/2 toxicity, physician/patient decision, and treatment compliance. Additional studies of sorafenib in breast cancer in the neoadjuvant and triple-negative settings are warranted.",2011-04,,white,c,2017-01-13 11:05:15,28,NULL,45,industry_government,2008-01-01,NULL,NULL,7,45,white,n,NULL,2007-05-01,safety,NULL,1,Combo_therapy,,inconclusive,"Additional  study  of  sorafenib  is  warranted  in  early  \nbreast  cancer.  \nHowever,  concurrent  use  with  paclitaxel  \ndoes  not  appear  to  be  feasible.  These  early  safety  data  \nsupport  evaluating  sorafenib  as  part  of  a  more  limited  \npreoperative  regimen.  Sorafenib  may  also  be  an  ideal  \noral  therapy  for  patients  with  triple  negative  disease  \nwhere  compliance  with  oral  therapy  is  not  complicated  \nby  another  daily  hormonal  pill. ",0,Spigel
